,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
271,2021-09-29,155,353134,232621468,6133,4778722
272,2021-09-30,215,365501,232986969,6267,4784989
273,2021-10-01,130,1169075,234156044,19773,4804762
274,2021-10-02,92,361343,234517387,5580,4810342
275,2021-10-03,65,312696,234830083,5058,4815400
276,2021-10-04,76,272061,235102144,4723,4820123
277,2021-10-05,107,289071,235391215,4848,4824971
278,2021-10-06,105,343986,235735201,5227,4830198
279,2021-10-07,130,362562,236097763,5687,4835885
280,2021-10-08,157,1057358,237155121,18185,4854070
281,2021-10-09,73,342406,237497527,5393,4859463
282,2021-10-10,38,310272,237807799,5086,4864549
283,2021-10-11,73,278848,238086647,4500,4869049
284,2021-10-12,156,288929,238375576,4808,4873857
285,2021-10-13,460,352490,238728066,5600,4879457
286,2021-10-14,273,358685,239086751,5392,4884849
287,2021-10-15,190,964392,240051143,16246,4901095
288,2021-10-16,188,355991,240407134,5283,4906378
289,2021-10-17,168,321697,240728831,4827,4911205
290,2021-10-18,267,277904,241006735,4644,4915849
291,2021-10-19,599,311052,241317787,5005,4920854
292,2021-10-20,369,382785,241700572,5521,4926375
293,2021-10-21,359,390879,242091451,5401,4931776
294,2021-10-22,302,923350,243014801,17659,4949435
295,2021-10-23,359,390389,243405190,6147,4955582
296,2021-10-24,310,341957,243747147,5334,4960916
297,2021-10-25,318,300182,244047329,5021,4965937
298,2021-10-26,322,313829,244361158,5774,4971711
299,2021-10-27,275,396065,244757223,6055,4977766
300,2021-10-28,511,410112,245167335,6804,4984570
301,2021-10-29,343,908348,246075683,16221,5000791
302,2021-10-30,179,400514,246476197,5934,5006725
303,2021-10-31,135,371385,246847582,5545,5012270
304,2021-11-01,167,304540,247152122,4962,5017232
305,2021-11-02,191,318758,247470880,5614,5022846
306,2021-11-03,155,385762,247856642,6183,5029029
307,2021-11-04,286,429030,248285672,6385,5035414
308,2021-11-05,217,938413,249224085,14838,5050252
309,2021-11-06,152,419935,249644020,6502,5056754
310,2021-11-07,124,368610,250012630,5544,5062298
311,2021-11-08,241,325260,250337890,5278,5067576
312,2021-11-09,505,360682,250698572,6070,5073646
313,2021-11-10,447,456662,251155234,6544,5080190
314,2021-11-11,333,468530,251623764,6310,5086500
315,2021-11-12,275,988062,252611826,14763,5101263
316,2021-11-13,254,438510,253050336,6380,5107643
317,2021-11-14,210,393097,253443433,5588,5113231
318,2021-11-15,175,344881,253788314,5878,5119109
319,2021-11-16,251,387172,254175486,6146,5125255
320,2021-11-17,259,496202,254671688,6628,5131883
321,2021-11-18,369,504481,255176169,6870,5138753
