Date,Sephora,Ulta,Fenty,Glossier
2022-03-11,29,31,32,23
2022-03-12,36,36,27,28
2022-03-13,34,37,23,30
2022-03-14,29,31,23,21
2022-03-15,28,29,24,23
2022-03-16,30,28,23,20
2022-03-17,31,28,22,22
2022-03-18,32,32,22,26
2022-03-19,36,37,22,29
2022-03-20,34,33,24,30
2022-03-21,32,28,20,24
2022-03-22,31,26,22,26
2022-03-23,29,26,19,30
2022-03-24,31,28,19,31
2022-03-25,29,30,19,28
2022-03-26,34,37,19,37
2022-03-27,32,35,21,32
2022-03-28,27,24,16,27
2022-03-29,29,25,17,27
2022-03-30,33,24,18,29
2022-03-31,34,28,16,25
2022-04-01,45,28,46,21
2022-04-02,38,36,42,29
2022-04-03,42,35,36,27
2022-04-04,35,24,33,29
2022-04-05,37,24,34,29
2022-04-06,35,25,32,24
2022-04-07,38,26,27,25
2022-04-08,38,29,24,24
2022-04-09,40,36,23,29
2022-04-10,42,32,20,28
2022-04-11,36,26,17,24
2022-04-12,34,26,21,25
2022-04-13,33,30,21,21
2022-04-14,29,29,19,23
2022-04-15,35,36,19,28
2022-04-16,35,36,15,26
2022-04-17,31,38,17,27
2022-04-18,31,27,17,29
2022-04-19,31,27,16,34
2022-04-20,30,26,16,33
2022-04-21,31,28,14,31
2022-04-22,32,30,16,28
2022-04-23,34,34,14,29
2022-04-24,32,37,14,30
2022-04-25,31,25,15,26
2022-04-26,30,25,16,24
2022-04-27,31,26,15,22
2022-04-28,30,28,14,24
2022-04-29,34,32,16,30
2022-04-30,34,33,18,29
2022-05-01,34,33,42,28
2022-05-02,93,100,77,33
2022-05-03,86,87,63,43
2022-05-04,89,68,58,33
2022-05-05,86,67,63,32
2022-05-06,96,77,41,29
2022-05-07,100,87,42,37
2022-05-08,94,87,38,34
2022-05-09,88,63,38,33
2022-05-10,76,60,40,31
2022-05-11,84,61,37,30
2022-05-12,84,64,42,33
2022-05-13,91,70,37,28
2022-05-14,90,75,35,31
2022-05-15,85,75,32,40
2022-05-16,87,57,35,32
2022-05-17,81,56,29,27
2022-05-18,80,59,30,28
2022-05-19,88,62,32,31
2022-05-20,78,69,33,24
2022-05-21,96,73,33,34
2022-05-22,92,71,38,31
2022-05-23,70,57,34,29
2022-05-24,83,57,35,36
2022-05-25,83,57,32,36
2022-05-26,91,68,30,50
2022-05-27,97,71,28,52
2022-05-28,99,76,26,50
2022-05-29,99,69,32,60
2022-05-30,91,71,33,54
2022-05-31,86,61,36,57
2022-06-01,84,63,93,42
2022-06-02,74,62,80,32
2022-06-03,88,66,56,27
2022-06-04,97,74,80,29
2022-06-05,85,72,64,34
2022-06-06,85,59,47,30
2022-06-07,84,57,40,26
2022-06-08,83,58,35,27
2022-06-09,88,68,35,28
2022-06-10,94,69,28,29
2022-06-11,98,74,36,34
2022-06-12,86,77,35,22
2022-06-13,86,57,25,26
2022-06-14,80,59,27,23
2022-06-15,79,60,35,24
2022-06-16,90,64,30,24
2022-06-17,86,73,29,24
2022-06-18,95,73,22,24
2022-06-19,88,72,32,26
2022-06-20,92,61,26,24
2022-06-21,82,58,30,31
2022-06-22,86,63,32,28
2022-06-23,91,63,30,28
2022-06-24,87,69,26,33
2022-06-25,95,70,28,31
2022-06-26,96,76,38,78
2022-06-27,81,59,29,72
2022-06-28,84,61,33,48
2022-06-29,86,63,30,40
2022-06-30,88,70,31,38
2022-07-01,91,75,71,26
2022-07-02,99,75,74,30
2022-07-03,91,73,69,32
2022-07-04,90,62,73,26
2022-07-05,86,56,85,27
2022-07-06,90,64,57,80
2022-07-07,89,63,47,100
2022-07-08,92,72,45,47
2022-07-09,97,75,32,44
2022-07-10,93,73,37,44
2022-07-11,83,63,41,33
2022-07-12,89,62,35,30
2022-07-13,97,63,34,35
2022-07-14,85,63,39,40
2022-07-15,91,71,39,41
2022-07-16,99,73,43,41
2022-07-17,91,77,44,38
2022-07-18,87,62,33,34
2022-07-19,83,61,32,36
2022-07-20,74,59,27,28
2022-07-21,91,61,26,43
2022-07-22,98,68,21,45
2022-07-23,92,74,32,96
2022-07-24,92,69,32,57
2022-07-25,93,60,33,48
2022-07-26,96,63,31,84
2022-07-27,90,59,39,76
2022-07-28,94,64,30,66
2022-07-29,95,72,27,64
2022-07-30,100,78,36,62
2022-07-31,91,77,30,54
2022-08-01,90,65,100,48
2022-08-02,86,60,85,46
2022-08-03,84,65,58,56
2022-08-04,92,63,63,46
2022-08-05,93,66,56,49
2022-08-06,95,76,47,42
2022-08-07,97,71,43,46
2022-08-08,87,62,34,47
2022-08-09,87,66,34,46
2022-08-10,83,64,32,44
2022-08-11,84,65,33,41
2022-08-12,84,67,27,39
2022-08-13,93,74,32,49
2022-08-14,92,79,34,48
2022-08-15,99,64,26,46
2022-08-16,86,62,27,45
2022-08-17,86,63,26,38
2022-08-18,86,60,30,42
2022-08-19,82,73,30,91
2022-08-20,95,77,34,65
2022-08-21,97,83,29,73
2022-08-22,86,59,30,79
2022-08-23,85,60,23,47
2022-08-24,83,63,33,38
2022-08-25,85,62,25,38
2022-08-26,87,68,27,37
2022-08-27,95,78,33,43
2022-08-28,93,90,24,38
2022-08-29,88,67,24,41
2022-08-30,95,65,33,36
2022-08-31,88,67,30,33
